KPI ID,Sector,Sub-sector,SP/EF,Indicator Name,Definition,Disaggregation,Unit of measurement,Type of measurement
766,PGI,PGI,"SP 5 - Values, power and inclusion","Number of people reached - Protection, gender and inclusion programmes.","PGI activities seek to prevent, respond and mitigate the causes, risks and consequences of all forms of violence, discrimination and exclusion. General categories of activities are based on the PGI Policy and Operational Framework (forthcoming). These include activities with a specific focus on addressing violence, discrimination and exclusion. Note that many activities address all three categories, with a particular focus. Examples include: Establish community centres (“dignity, access, participation and safety (DAPS) centres”) in a displacement camp, urban context or other setting where people at risk of violence, exclusion or discrimination can receive a range of adapted services; Programmes to prevent and respond to people affected by violence, exploitation or abuse (e.g. SGBV survivors, survivors of trafficking in persons, children affected by violence, minority groups affected by violence) providing comprehensive support through case management; on-site counselling, legal assistance, mapping, testing, monitoring and coordinating referral pathways for survivors, setting up a shelter (run by with qualified staff and trained volunteers) for people affected by or at risk of violence; Designing and implementing “safe spaces” in emergency response, e.g.: for women and girls to share information and concerns related to sexual and reproductive health and rights b) for children to have a place to play, to learn or received psychosocial support; Equitable access to resources for marginalised and excluded groups (in both emergency and long-term work) e.g.: design and implement peer support groups for older men in a refugee camp to improve mental health and psychosocial wellbeing, designing and implementing a disaster preparedness programme that specifically addresses the needs of persons with disabilities; Longer-term social inclusion work focusing on access to opportunities and fulfilment of rights for marginalised and excluded groups e.g.: designing and implementing a livelihood and life skills programme targeting women and girls, programmes to provide access to employment for marginalised groups (e.g. migrant populations) though language courses, training and partnership with local employers; Public campaigns or activities to reduce discrimination and stigma and promote the equality and/or rights of marginalised or excluded groups (People Reached Indirectly).",SAD,People,Number
768,"Migration
PGI","Migration (assistance)
PGI",SP 4 - Migration and displacement,"Number of people on the move along migration routes who are provided with humanitarian services (assistance, protection, or both).","For this questionindicator, please provide data on the number of people on the move transiting or moving along migration routes (within and between countries of origin, transit, and destination) who were provided with humanitarian services.  Please do not include data on the number of refugees, asylum seekers, or internally displaced people living longer-term in camps or settlements who were provided with humanitarian services. Humanitarian services offer a variety of support services aimed at addressing the diverse needs of vulnerable population (people on the move, people displaced because a crisis or people from the host community where migrants and IDPs are displaced or passing through), including but not limited to food, first aid, health care, mental health, psychosocial support, relief (essential household items), cash and vouchers, information and accompaniment, connectivity (wifi, phone cards), shelter/accommodation, water, sanitation and hygiene promotion (WASH), transportation, evacuation, safe referrals to service providers, including government, UNHCR, UNICEF, restoring family links (RFL), legal aid providers, NGOs etc, child protection activities, anti-trafficking activities and Immigration detention related activities.",SAD,People,Number
769,"Migration
PGI","Migration (assistance)
PGI",SP 4 - Migration and displacement,"Number of people on the move along migration routes who are provided with humanitarian services (assistance, protection, or both) through Humanitarian Service Points (HSPs).","For this indicator, please provide data on the number of people on the move transiting or moving along migration routes (within and between countries of origin, transit, and destination) who were provided with humanitarian services.  Please do not include data on the number of refugees, asylum seekers, or internally displaced people living longer-term in camps or settlements who were provided with humanitarian services. Humanitarian services offer a variety of support services aimed at addressing the diverse needs of vulnerable population (people on the move, people displaced because a crisis or people from the host community where migrants and IDPs are displaced or passing through), including but not limited to food, first aid, health care, mental health, psychosocial support, relief (essential household items), cash and vouchers, information and accompaniment, connectivity (wifi, phone cards), shelter/accommodation, water, sanitation and hygiene promotion (WASH), transportation, evacuation, safe referrals to service providers, including government, UNHCR, UNICEF, restoring family links (RFL), legal aid providers, NGOs etc, child protection activities, anti-trafficking activities and Immigration detention related activities. “Protection” refers to any actions covered under the PGI policy – protection from violence, discrimination or exclusion.",SAD,People,Number
771,"Migration
PGI","Migration (assistance)
PGI",SP 4 - Migration and displacement,Number of humanitarian service points HSPs providing humanitarian services to people on the move along migration routes.,"Humanitarian services offer a variety of support services aimed at addressing the diverse needs of vulnerable population (people on the move, people displaced because a crisis or people from the host community where migrants and IDPs are displaced or passing through), including but not limited to food, first aid, health care, mental health, psychosocial support, relief (essential household items), cash and vouchers, information and accompaniment, connectivity (wifi, phone cards), shelter/accommodation, water, sanitation and hygiene promotion (WASH), transportation, evacuation, safe referrals to service providers, including government, UNHCR, UNICEF, restoring family links (RFL), legal aid providers, NGOs etc, child protection activities, anti-trafficking activities and Immigration detention related activities. “Protection” refers to any actions covered under the PGI policy – protection from violence, discrimination or exclusion. QUESTION: How many HSPs run by the National Society provided humanitarian services (assistance, protection, or both) to people on the move along migration routes?",,Services,Number
772,"Migration
PGI
National society development","Migration (assistance)
PGI
National society development",SP 4 - Migration and displacement,Number of staff and volunteers trained on assisting or protecting people on the move along migration routes.,"Training may cover different topics on migration and displacement or themes such as HSPs, PGI, CEA, advocacy and HD, IM, return and reintegration programming, etc., as they relate to migration and displacement contexts. The list of training is not intended to be exhaustive. What matters is that there is some relationship between the topic of training and the ability to assist or protect people on the move along migration routes. “Protecting” refers to any actions covered under the PGI policy – protection from violence, discrimination or exclusion (rather than limited to legal protection of refugees based on migration and displacement-related legislation). QUESTION: How many staff and volunteers were trained on assisting and protecting people on the move?",SAD,Staff_Volunteers,Number
782,"Health
WASH","Epidemic preparedness and response
WASH",SP 3 -Health and wellbeing,Number of National Societies in cholera-affected countries with a gap analysis and a plan to address the main gaps for cholera.,"Cholera-affected countries: Countries where cholera outbreaks have been reported, necessitating intervention and response efforts.",,NS,Number
784,WASH,WASH,SP 3 -Health and wellbeing,Number of people provided with access to safely managed drinking water services or an improved drinking water source constructed or rehabilitated by RCRC.,"Safely Managed Drinking Water Services: Water services that are accessible on premises, available when needed, and free from contamination. Improved Drinking Water Source: Water sources that are likely to provide safe water, including piped water, boreholes, protected dug wells, protected springs, and rainwater collection. Rehabilitated: Existing drinking water facilities upgraded or repaired to meet improved standards of safety and accessibility.",SAD,People,Number
786,WASH,WASH,SP 3 -Health and wellbeing,Number of people provided by RCRC with access to safely managed sanitation services or to improved sanitation facilities.,"Safely Managed Sanitation Services: Sanitation services that hygienically separate human excreta from human contact and ensure that excreta are treated and disposed of safely. This includes facilities that are regularly cleaned, maintained, and monitored for functionality and hygiene. Improved Sanitation Facilities: Facilities that ensure hygienic separation of human excreta from human contact. Examples include flush/pour-flush toilets connected to a sewer system, septic tank, or pit latrine, ventilated improved pit latrines, composting toilets, and pit latrines with slabs.",SAD,People,Number
788,"Health
WASH","Health promotion services
WASH",SP 3 -Health and wellbeing,Number of people covered with hygiene promotion activities.,Hygiene promotion: a general term used to cover a range of strategies aimed to improve people’s hygiene and so prevent the spread of disease. It focuses on knowledge and access to resources to enable adequate hygiene.,Response/recovery phase. SAD,People,Number
794,"WASH
National society development","WASH
National society development",SP 3 -Health and wellbeing,Number of target population registered and trained as Red Cross or Red Crescent health and/or WASH volunteers.,Registered: Individuals who have formally enrolled or signed up as volunteers with the Red Cross or Red Crescent. Trained: Individuals who have completed training programs provided by the Red Cross or Red Crescent in health and/or WASH topics including health education and promotion; disease prevention and control; first aid and emergency response; WASH practices and implementation; hygiene promotion and behavior change communication; operation and maintenance of WASH facilities.,SAD,People,Number
798,WASH,WASH in emergencies,SP 3 -Health and wellbeing,Number of people reached by RCRC with WASH actions in emergency response.,"WASH actions in emergency response include the following. Water: Provision of safe drinking water through distribution, installation of water points, and water purification systems. Sanitation: Construction or rehabilitation of emergency latrines, waste management systems, and sanitation facilities. Hygiene: Distribution of hygiene kits, promotion of hygiene practices, and provision of handwashing facilities.",SAD,People,Number
800,"WASH
Health","WASH in emergencies
Emergency health services",SP 3 -Health and wellbeing,Number of people reached by RCRC cholera response.,"Cholera Response: Activities carried out by RCRC to prevent, control, and treat cholera. These may include the following. Distribution of safe drinking water and water purification supplies. Provision of sanitation facilities and services. Health education and awareness campaigns on cholera prevention and hygiene practices. Distribution of oral rehydration salts (ORS) and other medical supplies. Treatment services at health facilities and mobile clinics or attendance at oral rehydration point. Cholera vaccination campaigns.",SAD,People,Number
804,WASH,WASH,SP 3 -Health and wellbeing,Number of target population provided by RCRC with access to safely managed drinking water services or an improved drinking water source.,"Safely Managed Drinking Water Services: Water services that are accessible on premises, available when needed, and free from contamination. These services include measures to ensure safe storage, distribution, and regular quality monitoring. Improved Drinking Water Source: Piped water into a dwelling, plot, or yard; public taps or standpipes; tubewells or boreholes; protected dug wells; protected springs; rainwater collection systems.",SAD,People,Number
805,WASH,WASH,SP 3 -Health and wellbeing,Number of target population provided by RCRC with access to safely managed sanitation services or to improved sanitation facilities.,"Safely Managed Sanitation Services: Sanitation services that hygienically separate human excreta from human contact and ensure that excreta are treated and disposed of safely. These services include facilities that are regularly cleaned, maintained, and monitored for functionality and hygiene. Improved Sanitation Facilities: facilities that ensure hygienic separation of human excreta from human contact including flush/pour-flush toilets connected to a sewer system, septic tank, or pit latrine, ventilated improved pit latrines, composting toilets, pit latrines with slabs. Facilities must have been constructed or rehabilitated by RCRC.",,People,Percentage
806,WASH,WASH,SP 3 -Health and wellbeing,Percentage of target population with access to a handwashing facility with soap and water on premises.,"Numerator: number of people with a handwashing facility (extrapolated from average household size). Denominator: number of people surveyed (extrapolated from average household size). Handwashing facility: A designated place for handwashing that includes soap (any substance that, when used with water, removes dirt and microorganisms from hands) and clean water. On premises: The handwashing facility is located within or in close proximity to the living quarters or area where the target population resides or spends a significant amount of time, ensuring easy and consistent access. Numerator: Total target population. Denominator: Number of people with access",,People,Percentage
813,"Health
Coordination and cooperation","Epidemic preparedness and response
External coordination",SP 3 -Health and wellbeing,Percentage of Country Support Platforms CSP supported countries with National Cholera Plan endorsed by the Global Taskforce on Cholera Control Independent Review Panel.,"Country Support Platform (CSP): led by IFRC and supports efforts – primarily at national level – to control and eliminate cholera. National Cholera Plan: An NCP is a dynamic, multi-year and operational document used by cholera-endemic countries or countries experiencing recurrent cholera outbreaks to prepare for and implement long-term prevention and control interventions. It is endorsed by ministries, government agencies, and institutions at the national level.",,Nation,Percentage
823,"Disaster risk reduction
Coordination and cooperation","Disaster risk reduction
External coordination",SP 2- Disasters and crises ,"Number of national and local plans, legal and regulatory frameworks with references to DRR and Eearly Warning and Eearly Action, influenced by National Society.","A new or revised legal instrument (law, regulation, policy, legal agreement) related to disaster will be counted as influenced by the NS through this indicator if the NS and/or iFRC have provided relevant advice, research or advocacy to the government and their advice is reflected in the text. This indicator counts instruments (and there may be more than one instrument adopted at the national, provincial or local level in a given year).",,Agreements,Number
824,"Disaster Law
National society development","Disaster Law
National society development",SP 2- Disasters and crises ,Number of National Societies whose staff received training on disaster law and legislative advocacy.,"Training on disaster law: Formal training focused on the legal principles and frameworks that govern international and national disaster response and preparedness, including understanding specific laws that impact humanitarian actions during disasters. Legislative advocacy: Training that equips staff with skills and knowledge to advocate for the creation, amendment, or repeal of laws to improve disaster response and management, enhancing the legal environment for effective humanitarian aid.",,NS,Number
830,"PGI
Health
National society development","PGI
MHPSS
National society development",SP 3 -Health and wellbeing,Number of staff and volunteers trained in PGI including referrals.,"“Trained in PGI” = introductory PGI training modules (online or face to face), that cover themese from the IFRC PGI policy, often with a focus on Dignity, Access, Participation, Safety) and/or specific training on safeguarding, gender-based violence, sexual exploitation and abuse, exclusion. “including referrals” means training which covers the guidance on making a safe referall for all staff/volunteers. Training on establishing a referral pathway is for PGI or other protection-related professionals. The training should cover the following 8 steps: 1. Identify the needs and capacities of the client/survivor; 2. In cooperation with the client/survivor, identify which organisation and/or agency can meet the most immediate needs; 3. Contact the service provider to confirm the eligibility criteria for the client/survivor; 4. Explain the referral process to the client/survivor; 5. Document informed consent from the client/survivor; 6. Make the referral according to the procedure agreed upon with the service provider; 7. Follow-up with the client/survivor and the receiving agency according to the procedure agreed upon with the service provider; 8. Store information in a safe, ethical and confidential manner. See 3.2 Guidance on basic referral mapping and case management for more details.",SAD,Staff_Volunteers,Number
871,Migration,Migration (assistance),SP 4 - Migration and displacement,Number of RCRC centres supporting integration and inclusion of migrants and host communities.,"This indicator quantifies the total count of established Red Cross Red Crescent (RCRC) centers specifically dedicated to supporting the integration and inclusion of migrants and host communities. These centres serve as focal points for providing various services and activities A Red cross and Red Crescent centre supporting integration and inclusion refers to a facility (outside of a RCRC branch) where migrants and host communities can access a large range of services under the following pillars: Socio-economic (employment, housing and education), well-being and protection (health, mental health and protection) socio-cultural (orientation and information, language knowledge and social connections) with accountability and meaningful participation as the main enabler factor.",,Metrics,Number
899,"Health
PGI
National society development","Health services
SGBV and child protection
National society development",SP 3 -Health and wellbeing,Percentage of [name of service] staff and volunteers trained on prevention of sexual exploitation and abuse (PSEA) and all forms of child safeguarding.,"Numerator: number of staff and volunteers trained on PSEA and child safeguarding. Denominator: total number of staff and volunteers. Prevention and Response to Sexual Exploitation and Abuse (PSEA): policy, rules and actions intended to prevent Personnel from engaging in any form of sexual exploitation and abuse and to respond where it has occurred. “Child safeguarding” refers to the broad obligation on personnel, partners, suppliers, and contractors to ensure that the design and delivery of programmes and organisational operations do not expose children to adverse impacts, including the risk of violence, abuse, exploitation, or neglect and that any concerns about children’s safety within the communities where they work are appropriately reported.",SAD,Services,Percentage
909,"Volunteering and youth
National society development","Volunteering and youth
National society development",EF 2- National Society development,Number of organized training sessions for staff and volunteers per year.,"Training sessions: Structured educational or instructional events planned and conducted by the National Society. These can include workshops, seminars, courses, and other training formats.",Role in the National Society (Staff/Volunteer),Training,Number
914,Food security and livelihoods,Food security,SP 2- Disasters and crises ,Number of people who received food items through RCRC response.,"Food items: These can include a range of products such as grains, canned goods, fresh produce, fortified foods, and other nutritional supplements necessary to meet the dietary needs of affected populations.",SAD,People,Number
918,"Shelter
Cash and voucher assistance","Shelter
Unconditional cash",SP 2- Disasters and crises ,Number of people supported through Government centralised payments.,"Government Centralized Payments: A method of disbursing financial aid where the government uses a centralized system to distribute payments directly to beneficiaries. This system ensures streamlined, efficient, and transparent distribution of funds.",SAD,People,Number
921,"Food security and livelihoods
National society development","Livelihoods
National society development",SP 2- Disasters and crises ,Number of volunteers and staff trained in livelihoods.,"Trained in livelihoods: Training that includes learning about economic development strategies, job skills training methodologies, entrepreneurship, financial literacy, agricultural development, and other related topics that contribute to building and sustaining livelihoods.",SAD,Staff_Volunteers,Number
923,"Health
National society development","MHPSS
National society development",SP 3 -Health and wellbeing,Number of people (including staff and volunteers) referred to external mental healthand psychosocial support services whose main aim was to prevent further psychological distress and/or treat mental health conditions.,"Referral to government mental health service or other mental health provider, to a peer-support group, to group therapy. Indicator subset. Combines to form the associated core FDRS/P&B indicator.","SAD, migrant/IDP/refugee",People,Number
924,"Health
National society development","MHPSS
National society development",SP 3 -Health and wellbeing,Number of people who have received psychological support delivered by National Society trained staff/volunteer under supervision.,"These could be delivered face-to-face, online or by telephone and include e.g. listening centre services, professional or lay counselling, counselling hotlines, psychological interventions.Indicator subset. Combines to form the associated core FDRS/P&B indicator","SAD, migrant/IDP/refugee",People,Number
925,"Health
National society development","MHPSS
National society development",SP 3 -Health and wellbeing,"Number of people who received individualized psychosocial support, including Psychological First Aid (PFA), by a trained staff member or volunteer.","These could be delivered face-to-face, online or by telephone and include e.g.listening centre services, home visits, assistance provided in HSP or shelters for people affected by emergencies, etc. Exclusions: If services aim primarily to provide personal care and other practical assistance for children, young people and adults who need extra support due to physical or mental characteristic(s), it is not mental health or psychosocial, it is social care. Indicator subset. Combines to form the associated core FDRS/P&B indicator","SAD, migrant/IDP/refugee",People,Number
926,Health,MHPSS,SP 3 -Health and wellbeing,Number of people who were engaged in focused psychoscial activities delivered by the National Society whose main aim was to protect or promote their mental health and psychological wellbeing.,"Examples of activities: play, recreational, creative, sports activities and art for children/youth after distressing  events, group support for people experiencing grief or psychological distress, group support for people with addiction problems, resilience programs for IDPs/migrants/refugees, peer-support groups. Exclusions: If services aim primarily to provide personal care and other practical assistance for children, young people and adults who need extra support due to physical or mental characteristic(s), it is not mental health or psychosocial, it is social care. Indicator subset. Combines to form the associated core FDRS/P&B indicator","SAD, migrant/IDP/refugee",People,Number
927,Health,MHPSS,SP 3 -Health and wellbeing,"Number of persons reached with awareness-raising sessions focused on promotion of positive mental health and psychosocial wellbeing, and prevention of mental health conditions.","These can include awareness delivered by theatre plays, social/community gatherings, Social Media campaigns, radio programs, podcasts, individual dissemination of public health messages related to mental health. Topics can cover aspects such as dealing with emotions, grieving, reactions to distressful events and positive coping, problem management techniques,etc. Exclusions: If services aim primarily to provide personal care and other practical assistance for children, young people and adults who need extra support due to physical or mental characteristic(s), it is not mental health or psychosocial, it is social care. Indicator subset. Combines to form the associated core FDRS/P&B indicator","SAD, migrant/IDP/refugee",People,Number
928,"Health
National society development","MHPSS
National society development",SP 3 -Health and wellbeing,"Number of policies, procedures and activities developed and implemented by the National Society related to staff and volunteer care.","Qualitative: case studies with hyperlink to effective case study format. Activities can include supervision sessions, team meetings, buddy-systems, peer support, referrals to external counselling/ psychological assistance, wellbeing surveys, volunteer appreciatoin and recognition sessions.",,Documents_activities,Number
929,Health,MHPSS,SP 3 -Health and wellbeing,Number of people receiving psychosocial materials from the National Society with the aim of protecting or promoting their mental health and psychological wellbeing .,"Materials can include IEC products with the aim of increasing psychological literacy and positive coping, psychosocial kits, recreational kits, sports material.","SAD, migrant/IDP/refugee",People,Number
930,Health,MHPSS,SP 3 -Health and wellbeing,Number of people who receive mental health and psychosocial services in emergency situations from RCRC.,"Focused psychological and psychosocial care, includes: psychological first aid, linking people with psychological problems or resources and services, case management, psychological counselling, psychotherapy or other psychological interventions.",SAD,People,Number
931,Health,MHPSS,SP 3 -Health and wellbeing,"Number of psychosocial support kits delivered for children, teenagers, and adults.","Focused psychological and psychosocial care, includes: psychological first aid, linking people with psychological problems or resources and services, case management, psychological counselling, psychotherapy or other psychological interventions.",,Metrics,Number
932,Health,Social care,SP 3 -Health and wellbeing,Number of people reached by all National Society social care services (including both care in the home or in institutions or day care centres).,"Services include both care in the home or in institutions or day care centres. Social care is a term that describes all forms of personal care and other practical assistance for children, young people and adults who need extra support due to physical or mental characteristic(s). As such, it often covers care for older people or people with disabilities or learning difficulties. E.g. Reading or companionship through to household chores like cleaning or cooking, assistance to access health services, support with food or water, household warmth, assistance with personal hygiene, assistance in social interaction, healthy ageing*, etc *Healthy Ageing is the process of developing and maintaining the functional ability that enables wellbeing in older age - WHO. Exclusions: If there are no personal physical or mental characteristics which require them to need extra support, this is not social care. For example, migrants who have no right to work may be supported with cash, goods or access to social welfare payments, but these would be livelihood activities; although a service may include people with a disability, if the same service is offered to all people (e.g. food distribution) it does not make it social care it is simply relief; similarly social services which are related to safeguarding or protection are not social care (e.g. women or children in refuges escaping domestic violence – and though there may be services offered which are health and wellbeing related –these would be included under Psychosocial support and mental health, or medical care); integrated care of complex medical conditions, where this is a medical intervention, is not social care and they would be covered in Primary or secondary healthcare services or, if by volunteers, care in the community. Indicator subset. Combines to form the associated core FDRS/P&B indicator Indicator subset. Combines to form the associated core FDRS/P&B indicator","SAD, migrant/IDP/refugee",People,Number
933,Health,Social care,SP 3 -Health and wellbeing,Number of people who were members of a National Society healthy ageing group.,"Healthy Ageing Group: A structured group or program facilitated by a National Society that focuses on promoting the health, well-being, and active involvement of older adults. Activities may include health education, physical exercise, social activities, mental health support, and access to health services. Members: Individuals who are formally registered as participants in the healthy ageing group. Membership typically involves regular attendance and participation in group activities and programs.",SAD,People,Number
934,Health,Social care,SP 3 -Health and wellbeing,Number of people who had attended day care / social centres.,"Day Care Centres: Facilities that provide care and supervision to individuals, typically children or the elderly, during the day. These centres offer a range of activities and services aimed at supporting the physical, emotional, and social well-being of attendees. Social Centres: Community-based facilities that offer social services, recreational activities, educational programs, and support groups to various segments of the population, including children, youth, adults, and seniors.",SAD,People,Number
935,Health,Social care,SP 3 -Health and wellbeing,Number of people who received social care home visits from the National Society.,"Social Care Home Visits: Visits made by social care workers or volunteers from the National Society to individuals' homes to provide a range of services. These services can include health monitoring, personal care, emotional support, assistance with daily activities, and social interaction.",SAD,People,Number
936,"Health
National society development","Social care
National society development",SP 3 -Health and wellbeing,Number of National Society volunteers providing social care.,"Providing Social Care: Activities performed by volunteers that involve offering support and assistance to individuals in need. This includes personal care, emotional support, assistance with daily living activities, health monitoring, and facilitating access to social services.",SAD,Volunteers,Number
937,Health,Social care,SP 3 -Health and wellbeing,Number of people reached with social care for needs arising from emergencies.,"Needs Arising from Emergencies: Specific requirements for assistance that individuals have as a direct result of experiencing an emergency. Emergencies can include natural disasters, conflicts, public health crises, and other events that disrupt normal life and create urgent needs for support.",SAD,People,Number
938,Health,Health promotion services,SP 3 -Health and wellbeing,"Number of people reached by National Society health promotion / awareness activities for the prevention and control of non-communicable diseases (NCDs include long-term respiratory disease, diabetes, cardiovascular disease, risk-managed cancers).","e.g. smoking awareness, tobacco cessation services, school health promotion for NCDs, alcohol awareness, physical activity awareness, health promotion, behaviour change activities. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector. Indicator subset. Combines to form the associated core FDRS/P&B indicator Indicator subset. Combines to form the associated core FDRS/P&B indicator- Exclusions: not reached through social/mass media - persons should be reached directly.","SAD, migrant/IDP/refugee",People,Number
939,Health,Health promotion services,SP 3 -Health and wellbeing,Number of people supported by National Society health care and disease management services for non-communicable diseases.,"e.g. volunteer and health staff screening for NCDs and long-term effects – blood pressure, cholesterol, glucose monitoring, HbA1c, retinopathy and podiatry checks - BMI measures clinical care, clinical care, dietitian consultations, and treatment adherence. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector. Indicator subset. Combines to form the associated core FDRS/P&B indicator Indicator subset. Combines to form the associated core FDRS/P&B indicator. Exclusions: not reached through social/mass media - persons should be reached directly.","SAD, migrant/IDP/refugee",People,Number
940,Health,Health promotion services,SP 3 -Health and wellbeing,Number of people referred to non-National Society run health care and disease management services for non-communicable diseases.,"e.g. referral to Ministry/Department of Health or other governmental NCD services, referral to NGO service, etc. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector. Indicator subset. Combines to form the associated core FDRS/P&B indicator Indicator subset. Combines to form the associated core FDRS/P&B indicator. Exclusions: not reached through social/mass media - persons should be reached directly.","SAD, migrant/IDP/refugee (if limited age information, include 0-17, 18-64, 65+).",People,Number
941,Health,Health promotion services,SP 3 -Health and wellbeing,Number of people reached by National Society health promotion / awareness messages in social / mass media or large gatherings for the prevention and control of non-communicable diseases.,"NCDs include long-term respiratory disease, diabetes, cardiovascular disease, risk-managed cancers. Messages topics could include smoking awareness, tobacco cessation services, alcohol awareness, physical activity awareness, health promotion, behaviour change activities. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector.",SAD,People,Number
942,Health,Health promotion services,SP 3 -Health and wellbeing,Number of self-support groups for non-communicable disease (NCD) risk or disease control.,"This indicator measures the total number of self-support groups established and active for the purpose of managing and controlling non-communicable diseases (NCDs) or mitigating their risk factors. It reflects the community’s engagement in peer support and collective action to improve health outcomes related to NCDs.
The measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector.",,Metrics,Number
943,Health,Health promotion services,SP 3 -Health and wellbeing,Number of people reached with health promotion activities related to non-communicable diseases (NCDs) management in emergencies.,"Health Promotion Activities: Interventions designed to educate and inform the public about managing NCDs during emergencies. These activities can include the following. Community workshops and seminar. Distribution of flyers, brochures, and posters. Radio and television broadcasts. Social media campaigns. Health education through schools and workplaces. Online webinars and virtual workshops. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector.",SAD,People,Number
944,Health,Health promotion services,SP 3 -Health and wellbeing,Number of people supported with home health or disease management for non-communicable diseases (NCDs) in emergencies.,"Home Health Services: Healthcare services provided in the patient's home. These services can include the following. Routine health check-ups. Medication management. Nutrition counselling. Physical therapy. Health education and self-management training. Disease Management for NCDs: Interventions designed to help patients manage their chronic conditions effectively. These can include the following. Regular monitoring of health status. Personalized care plans. Remote consultations and telemedicine. Emergency preparedness and contingency planning for NCD care. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector.",SAD,People,Number
945,Health,Health promotion services,SP 3 -Health and wellbeing,Number of people referred for non-National Society run healthcare services for non-communicable diseases (NCDs) during emergencies.,"Non-National Society Run Healthcare Services: Healthcare services provided by entities other than the National Society. These can include the following. Government hospitals and clinics. Private healthcare providers. Non-governmental organizations (NGOs). Specialized medical centers. Community health centers. This measurement EXCLUDES activities with a mental health and psychosocial support focus, which should be reported under that respective sub-sector.",SAD,People,Number
946,"Health
Migration","Migrant health
Migration (assistance)",SP 3 -Health and wellbeing,Number of people in migrant programmes reached with contextually appropriate National Society services aimed at improving or maintaining their health and wellbeing (where not already included in other health and care service categories).,"e.g. detention health, migrant health promotion activities, referrals, health visits, health screening, reception centre health activities, child/ youth/ mother-baby friendly spaces, nutrition for migrant children, provision of hygiene kits in camps, referral to health services, but where not included in other health and care activity numbers. Exclusions: Health activities which are not specific to migrants. If they access medical or preventive programmes that are included elsewhere in this framework, use the specific category and record as migrant numbers; Do not include numbers already included in other health activities. Only include here numbers of migrants reached with NS health programmes (prevention, diagnosis/screening, treatment). Indicator subset. Combines to form the associated core FDRS/P&B indicator","SAD, migrant/IDP/refugee",People,Number
947,"Health
Migration","Migrant health
Migration (assistance)",SP 3 -Health and wellbeing,Number of people included in National Society’s programmes in support of migrants who were referred by the programme to access health (including mental health) services not provided by the National Society.,"e.g. detention health, migrant health promotion activities, referrals, health visits, health screening, reception centre health activities, child/ youth/ mother-baby friendly spaces, nutrition for migrant children, provision of hygiene kits in camps, referral to health services, but where not included in other health and care activity numbers. Exclusions: Health activities which are not specific to migrants. If they access medical or preventive programmes that are included elsewhere in this framework, use the specific category and record as migrant numbers; Do not include numbers already included in other health activities. Only include here numbers of migrants reached with NS health programmes (prevention, diagnosis/screening, treatment).","SAD, migrant/IDP/refugee",People,Number
948,"Health
Migration","Migrant health
Migration (assistance)",SP 3 -Health and wellbeing,Number of migrants reached with targeted health services for needs created by emergencies.,Targeted Health Services: Health services specifically tailored to meet the needs of migrants affected by emergencies. These services can include the following. Emergency medical care. Vaccinations. Mental health and psychosocial support. Maternal and child health services. Treatment of infectious diseases. Health education and promotion. Access to clean water and sanitation.,SAD,People,Number
949,Health,Care for persistent infections,SP 3 -Health and wellbeing,"Number of people in National Society care programmes for those with persistent infections who receive material support, care or other non-medical services.","Individuals diagnosed with chronic or long-term infections such as HIV/AIDS, tuberculosis (TB), hepatitis, and other similar conditions. Types of support may include the following. Material Support: Provision of essential items such as nutritional supplements, hygiene kits, clothing, and household supplies. Psychosocial Support: Counseling, mental health services, support groups, and other forms of emotional and psychological assistance. Social Support: Assistance with social integration, access to community resources, and support networks. Educational Support: Health education, life skills training, and information on managing chronic infections. Financial Assistance: Direct financial aid or help in accessing financial resources and benefits. Indicator subset. Combines to form the associated core FDRS/P&B indicator",SAD,People,Number
950,Health,Care for persistent infections,SP 3 -Health and wellbeing,"Number of new smear-positive TB cases registered under a TB treatment/control programme in a given year referred by, or operated by, the National Society.",This indicator measures the total number of new smear-positive tuberculosis (TB) cases that are registered under a TB treatment or control program within a given year. These cases are either directly referred by the National Society or managed under programs operated by the National Society. Indicator subset. Combines to form the associated core FDRS/P&B indicator,"SAD, migrant/IDP/refugee",Metrics,Number
951,Health,Care for persistent infections,SP 3 -Health and wellbeing,"Number of old smear-positive TB cases re-registered (previously dropped out) under a TB treatment/control programme in a given year referred by, or operated by, the National Society.",Individuals who were previously diagnosed with smear-positive TB and started treatment but discontinued before completion and are now re-registered to resume treatment. Indicator subset. Combines to form the associated core FDRS/P&B indicator,"SAD, migrant/IDP/refugee",Metrics,Number
